school_name,voluntary_contributions_2015,subject_contributions_2015
Edward Public School ,"$1,490",$0
Eglinton Public School ,"$9,530",$0
Elands Public School ,$0,$0
Elanora Heights Public School ,"$36,642","$36,759"
Elderslie High School ,"$38,855","$80,797"
Elderslie Public School ,"$6,302",$0
Eleebana Public School ,"$23,490",$0
Elermore Vale Public School ,"$24,797",$0
Elizabeth Macarthur High School ,"$56,537","$147,142"
Ellalong Public School ,"$2,391",$0
Ellerston Public School ,"$1,100",$0
Ellison Public School ,"$9,437","$2,835"
Eltham Public School ,"$1,196",$0
Emerton Public School ,$0,"$2,429"
Emmaville Central School ,"$1,791","$4,354"
Empire Bay Public School ,"$18,055",$0
Empire Vale Public School ,"$1,137",$0
Emu Heights Public School ,$0,$0
Emu Plains Public School ,"$2,762",$0
Endeavour Sports High School ,"$28,841","$67,164"
Enfield Public School ,"$9,144",$364
Engadine High School ,"$168,383","$144,731"
Engadine Public School ,"$11,795",$0
Engadine West Public School ,"$2,330",$0
Enngonia Public School ,$0,$0
Epping Boys High School ,"$328,460","$104,269"
Epping Heights Public School ,"$29,808","$42,197"
Epping North Public School ,"$53,408",$0
Epping Public School ,"$31,920","$38,568"
Epping West Public School ,"$106,179",$575
Eraring Public School ,$0,$0
Erina Heights Public School ,$60,$0
Erina High School ,"$24,072","$47,581"
Ermington Public School ,$0,"$14,185"
Ermington West Public School ,"$2,213",$0
Erskine Park High School ,"$40,786","$92,256"
Erskineville Public School ,"$30,315",$0
Eschol Park Public School ,"$4,068",$0
Ettalong Public School ,$0,$0
Euabalong West Public School ,$70,$0
Euchareena Public School ,$0,$340
Eugowra Public School ,$505,$0
Eumungerie Public School ,$65,$0
Eungai Public School ,$0,$0
Eureka Public School ,$890,$0
Eurongilly Public School ,$460,$0
Euston Public School ,"$1,740",$0
Evans High School ,"$9,678","$35,205"
Evans Intensive English Centre ,"$1,384",$213
Evans River Community School ,"$5,697","$31,077"
Excelsior Public School ,"$17,606",$0
Exeter Public School ,$0,$0
Fairfax Public School ,$160,$0
